date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:53:57	88484/88484	---M--	200	added ('OK')	application/x-font-ttf	date:Tue,%2018%20Mar%202025%2000:24:02%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-RegularItalic.ttf	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-RegularItalic.ttf	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:53:57	84900/84900	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2000:24:03%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Light.eot	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Light.eot	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:53:58	84900/84900	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2000:24:03%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Light.eot?	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Lightd41d.eot	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:53:58	38028/38028	---M-Z	200	added ('OK')	application/font-woff	date:Tue,%2018%20Mar%202025%2000:24:03%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Light.woff	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Light.woff	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:53:58	84728/84728	---M--	200	added ('OK')	application/x-font-ttf	date:Tue,%2018%20Mar%202025%2000:24:03%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Light.ttf	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Light.ttf	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:53:58	88966/88966	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2000:24:04%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-LightItalic.eot	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-LightItalic.eot	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:53:58	88966/88966	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2000:24:04%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-LightItalic.eot?	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-LightItalicd41d.eot	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:53:59	40884/40884	---M-Z	200	added ('OK')	application/font-woff	date:Tue,%2018%20Mar%202025%2000:24:04%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-LightItalic.woff	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-LightItalic.woff	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:53:59	88768/88768	---M--	200	added ('OK')	application/x-font-ttf	date:Tue,%2018%20Mar%202025%2000:24:04%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-LightItalic.ttf	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-LightItalic.ttf	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:53:59	82968/82968	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2000:24:04%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Heavy.eot	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Heavy.eot	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
